shstReferenceId,min_lanes,max_lanes,oneWay
0049ac1d7a23d9f7a3297abb14bfa139,2,2,"[True, True, True]"
004a253d6c376f4e4e4771b7472d5793,1,1,True
004b795837aa591b21610cf945097c26,2,2,True
004c9aec78ade9ed9c6070987c709979,2,2,False
004d59e93caaafb35c8ea1bc87a27403,5,5,True
004d6cdcff6ac208a5ae995841f1840b,2,2,False
004d7469d6fb053d52f8d272575767e4,2,2,True
004e644e7d899f1f0bd636b1663a2c46,2,2,False
004fbbde415051bb8ffd2de6ffdf4846,2,3,"[False, False]"
004ffbe87c02c10151d5232e65bf6fa8,2,2,False
0051aac5d02abb8001ff90d3b50ad5d4,2,2,True
0051fb4cf06b7975fb59824e679824f0,2,2,False
0053c48835d56c2dbcb6c6c0db893076,3,3,False
0053ef8cc8669e25663016bb2e7b5bd7,2,2,True
00542192431be4037fb39ec590f0adb4,2,2,True
0054ddf5c37791701b2ee6d584ca4442,2,2,False
005586c0c986e59d4dcd979513f7e8e6,4,4,True
0055e17da21815e14bb5db6aee12db81,2,2,False
005602687e9e702ed7de051722a43e51,3,3,False
0056d858dc71e6d0095999784c8e16bd,3,3,True
0057865b3761388669031c35e00b9e9b,2,2,False
00589a29806e668e280da2d3fa90a9ca,2,2,False
005a078054386cb7659bcbbdacf61c63,4,4,"[True, True]"
005b353f9216e3af10011c31f116252c,2,2,False
005c0587349b69aa5c4c478339e3bbb9,1,1,True
005c138e4d97719b04d9f77308c1880a,2,2,False
005c184286ada137c58ef5cfddbda1c8,2,2,True
005c47e30e849a2599d675146c8a731c,2,2,False
005c99e94f3ce619592a16505315c07e,2,2,False
005f37a04a9aa2eda17131ba7cabba3f,2,2,False
005fc384c508cf1e99ed146cadce43c6,2,2,False
00602b3ca601ec48c71245488dd21542,2,2,False
006037c358e5ada0fdff26f5e7e57552,3,3,False
00622e5d9eb7ece7be104b9b55eb76d2,2,2,False
00632838d172923036d75ed460ca6246,2,2,True
0063651719754cdb7e2fa7aa31cee5b7,3,3,"[True, True]"
006377328f1b70089a61c0978f3ef9f6,2,2,False
00644f5c7cbf753a23ac84922511eef2,3,3,True
0064b120efc072e184c557504ff14e4f,2,2,True
00651b40506953f67212949cd02ce354,2,2,False
0065e7d93b976cb76a1e8e8aac8d66c1,2,2,True
0065eb25bb57b2319298783beb4a732c,3,3,True
00669df57caa8bdcb52b19890cbfc7dd,2,2,False
00671591e95a4c79826d5da9e5dbba70,2,2,False
00675c05e533f6554a881f7f3f5a7dc7,2,2,True
0068b668209cac2494ed83e34091d4e7,2,2,False
006a9857d7a5510eb6f9ab19ea1af87a,2,2,True
006b2ca022ed622a00f9561799eff4d5,2,2,False
006c16c0e2a39572c1df61e198276df5,2,2,True
006c79f4fa3ae05e61ca556d83e955f5,3,3,"[False, False]"
006d42464fe59d12684976f484ebf254,4,5,"[True, True]"
006e026767cc0f27dc8c3d56e48f60cf,1,1,True
006fd02d2b84f36315896968f1f36de9,1,2,"[True, True, True, True, True]"
0070c465c816ffee197b9156591147ea,2,2,False
0071a74dcb40c16112252643de22fdb4,3,3,True
00721d712e92810d1807b7532a5c13e1,1,1,True
0072268bbb6bf5c49209175424725aa3,5,5,False
007230c682525ad8cbfaed8acd2b6cb3,2,2,False
00728b041d2dd251d3481867406842d8,2,2,False
00747240d103564767268a1ae7a0f6f3,2,2,False
0074911a7300bb7ff1ae0a42653a0f86,2,2,False
0075260f56f609c915bbab41f977f483,2,2,False
00763e2549a3d71e99b7a24e51cbfbf8,4,4,True
00766f30e4105d5f526452044015a58a,2,2,False
0078d8568f9af55138bc9ae86bbaa312,2,2,True
007a28baed5578216173cb1f82383c7c,3,3,True
007a6b2c502265bb4ebe2f001d59e97d,2,2,"[False, False]"
007ba55e75dd5d9572dc6984fc9dc0d4,2,2,False
007bfcdd4765a24a3509a2725868da17,3,4,"[True, True]"
007cf703e2dd352b72b6e7fe60adbf3c,3,3,False
007d69746868b6db62442df4ee0998a8,1,1,True
007d6efd47e653bdc2e7a6b44bb86d93,5,5,"[True, True]"
007e4f6aa4d824b8e722f15b2a700c01,3,3,True
007f600e90ed72b8e27458b8a3c5d3f9,2,2,True
0080495b40a8ef18cbf4af2907988736,4,4,False
0080ba6f998f70a2a68786bdb8048f02,2,2,False
0082132d1adbb9f2810df571391c81be,4,4,False
00835e5afe0a7cec816cca52db26fabc,2,2,True
00842c8ee1b41630f4335966da884ca6,4,4,True
0084a581d7a026e9a57a799ec71b3bab,1,1,True
00859b1154bc6bf909d2df220efddfb8,2,2,False
00869a8215cf4f1dc1a7b60a2ab1286e,1,3,"[True, True]"
00872cf18c91057d3731473a1e8cbcf0,2,2,True
0087d659ba11956b3ef5b80cfbbaf7b1,3,3,True
0088d34b0500a6dd87d19bfae893a41b,2,2,False
008a53c4344e18ba02397cf2a7dfb66c,3,3,True
008cd1102f20b77bf809233556e60566,2,2,False
008d5f9ee016fe36337f963d0c94caa0,3,3,False
008e401c2413a7a5802e818ea3d61c26,2,2,False
008e6d047d0c728bb3c768100ac7a631,2,2,False
0090613696921fb8b36ce673d192d318,2,2,False
0092ed502802c99a09908fe39012e50f,3,3,True
00960a78f3801e12010cd8d07a11af86,2,3,"[True, True]"
00964b212442c452102d6d7aca6f5ae8,2,2,True
00965e36e26c03af9d203ba336a409dd,2,2,True
00973d7935bdb544bacf688dadc37094,4,4,False
0098bf5330e3c9995156b3ef7e7b5ccc,2,2,False
009a59a48cdd8efe55fa6e1a343345fc,2,2,True
009c7f3bdd21ccbc321a766e3b4bba0f,2,2,True
009df30d8aaf596e60f280c071ccd572,3,4,"[True, True]"
009e71c168c79f5bb151e1cf394f013c,2,3,"[False, False, False]"
009f4ad13d78e757a797f2e2b32c40ee,2,2,False
00a1a04556754004e730911bf5fa4191,2,2,"[True, True]"
00a225fea193248012df3f7b14f19fd1,2,2,False
00a346d9dbc11ae8bc7e6c0722728c8b,1,1,False
00a41b940478939bf7d9b067968fc23d,2,2,False
00a4b964bf84d514538343abd0abe24a,3,3,"[False, False]"
00a7431482f38ef86fbf1290b9ae6e8f,2,2,False
00a75ed89254e582d3bdfe4119353bdf,2,3,"[True, True]"
00a780f76ea3e89293d6c7764e577897,3,3,True
00a9037df4a2f0b1d16cbe72db9510a5,3,3,False
00aa69f3010f28d5216f369f5cc4e590,2,5,"[False, False]"
00aac18a74d70c4c8d45a91ac680d302,2,2,False
00abbdbfe05d65b4e792d3cbba5fbeca,2,2,False
00ad5964a95092958cf6faee4189c137,2,2,False
00ad986d37e493646033f7e80fc5e307,2,2,False
00adbb4d373e3968a70936063de2f2ac,5,5,False
00ade0a85ad85a5fd224563ef772ba15,2,2,False
00af5310b62858ae35e9742ad03cc29c,2,2,False
00b23d61f31c4b86c261416d1e519e63,1,1,True
00b2e0f77b0d3233dbc24d6c48696061,2,2,False
00b30db89120f927195821472a00c8c6,2,2,False
00b379e1cb1faa1b8fd5a81224f6c0f6,2,2,False
00b42bb0e9bce43d3a8ee6304008c826,2,2,False
00b4695f4b25f55024805ef5573e7b92,5,5,True
00b4858f3dacd3d25ac0895f70b1798d,2,2,False
00b5075bb7aaebf4e1babacf024c8587,4,4,False
00b50e38ead2f62f421a1ee57b1ab9ac,5,5,False
00b65a0e6dbd1a2ec0645dda45401f2d,2,2,True
00b726de160258ed957c3eb3bf35473a,2,2,True
00b7dcac6584500aeabf16acad15527b,2,4,"[False, False]"
00b85b3ea666035b165c60d6253ca896,1,1,True
00b9ac3823f5bbafd9ff220d0d4ac8aa,2,2,False
00ba3dcdc2e8698035ecb0eafd3c60ab,2,2,False
